# IPsum Threat Intelligence Feed
# (https://github.com/stamparm/ipsum)
#
# Last update: Wed, 25 Mar 2026 03:01:02 +0100
#
# IP	number of (black)lists
#
2.57.121.112	10
185.91.69.217	10
45.148.10.121	9
91.224.92.50	9
93.174.95.106	9
114.111.54.188	9
2.57.121.50	8
2.57.121.86	8
14.63.217.28	8
43.252.231.122	8
61.245.11.87	8
66.240.192.138	8
77.239.108.0	8
80.82.77.33	8
80.82.77.139	8
82.165.66.87	8
86.54.31.34	8
86.54.31.42	8
91.208.206.75	8
152.32.162.42	8
167.94.146.57	8
167.94.146.60	8
168.144.40.190	8
196.188.93.169	8
217.154.69.208	8
2.57.121.17	7
2.57.121.25	7
2.57.121.69	7
2.57.121.118	7
2.57.122.189	7
2.57.122.195	7
2.57.122.197	7
2.57.122.238	7
5.182.83.231	7
14.63.196.175	7
14.116.156.100	7
18.218.118.203	7
27.79.4.8	7
27.79.7.233	7
27.111.32.174	7
34.85.163.94	7
34.175.118.185	7
35.237.94.18	7
36.255.3.203	7
38.250.116.128	7
43.128.81.242	7
45.15.224.178	7
45.43.37.254	7
45.87.249.155	7
45.148.10.141	7
45.148.10.151	7
45.148.10.157	7
45.148.10.192	7
45.175.37.18	7
45.227.254.170	7
49.64.169.153	7
51.158.120.121	7
59.12.160.91	7
60.199.224.2	7
60.244.155.70	7
62.193.106.227	7
66.132.172.33	7
66.132.172.46	7
66.132.172.132	7
66.132.172.135	7
66.132.172.136	7
66.132.172.143	7
66.132.172.181	7
66.132.172.192	7
68.233.116.124	7
69.5.189.81	7
71.6.135.131	7
71.6.158.166	7
71.6.165.200	7
71.6.199.23	7
80.66.66.70	7
80.94.92.168	7
80.94.92.171	7
80.94.92.182	7
80.94.92.184	7
80.253.31.232	7
81.183.192.244	7
82.24.64.32	7
86.54.31.32	7
86.54.31.40	7
87.106.91.226	7
88.142.46.185	7
89.167.43.70	7
89.188.72.128	7
89.248.167.131	7
92.27.157.252	7
92.118.39.72	7
92.118.39.76	7
92.118.39.95	7
92.154.95.236	7
94.102.49.193	7
95.58.255.251	7
95.167.225.76	7
101.47.158.137	7
101.126.88.251	7
103.49.238.104	7
103.63.25.171	7
103.81.170.109	7
103.144.28.85	7
103.148.100.146	7
103.154.62.14	7
103.182.132.154	7
111.119.220.50	7
113.164.66.10	7
115.140.161.61	7
116.34.14.135	7
118.26.38.251	7
121.165.84.80	7
122.168.194.41	7
125.20.210.182	7
125.21.59.218	7
134.65.30.157	7
138.124.67.78	7
139.19.117.130	7
144.31.137.41	7
147.182.194.60	7
154.221.27.234	7
161.49.89.39	7
161.132.19.76	7
163.7.1.156	7
